Time,mercadobitcoin
2012-07-24 00:00:00 UTC,20.0550732692308
2012-07-25 00:00:00 UTC,19.92978125
2012-07-26 00:00:00 UTC,19.7462858624339
2012-07-27 00:00:00 UTC,20.534327414966
2012-07-28 00:00:00 UTC,20.356329
2012-07-29 00:00:00 UTC,20.299175
2012-07-30 00:00:00 UTC,15.225
2012-07-31 00:00:00 UTC,20.675
2012-08-01 00:00:00 UTC,19.6369211904762
2012-08-02 00:00:00 UTC,20.6626408333333
2012-08-03 00:00:00 UTC,21.8861774444445
2012-08-04 00:00:00 UTC,22.2051
2012-08-05 00:00:00 UTC,21.9286642857143
2012-08-06 00:00:00 UTC,22.724015
2012-08-07 00:00:00 UTC,23.3366666666667
2012-08-08 00:00:00 UTC,23.66031640625
2012-08-09 00:00:00 UTC,23.9860761538462
2012-08-10 00:00:00 UTC,24.3686666666667
2012-08-11 00:00:00 UTC,23.9595119047619
2012-08-12 00:00:00 UTC,23.56
2012-08-13 00:00:00 UTC,24.4066916666667
2012-08-14 00:00:00 UTC,24.9495016666667
2012-08-15 00:00:00 UTC,25.4430652380952
2012-08-16 00:00:00 UTC,28.7350754545455
2012-08-17 00:00:00 UTC,29.7533149038462
2012-08-18 00:00:00 UTC,25.2657066414141
2012-08-19 00:00:00 UTC,22.2714053690476
2012-08-20 00:00:00 UTC,20.1457666666667
2012-08-21 00:00:00 UTC,20.75
2012-08-22 00:00:00 UTC,23.2942594871795
2012-08-23 00:00:00 UTC,23.2672222222222
2012-08-24 00:00:00 UTC,23.1822222222222
2012-08-25 00:00:00 UTC,23.26
2012-08-26 00:00:00 UTC,23.1686111111111
2012-08-27 00:00:00 UTC,24.4153402777778
2012-08-28 00:00:00 UTC,24.671
2012-08-29 00:00:00 UTC,24.5418253968254
2012-08-30 00:00:00 UTC,24.2836116666667
2012-08-31 00:00:00 UTC,23.8389486080586
2012-09-01 00:00:00 UTC,24.8318
2012-09-02 00:00:00 UTC,24.8795666666667
2012-09-03 00:00:00 UTC,24.4160017142857
2012-09-04 00:00:00 UTC,24.4836666666667
2012-09-05 00:00:00 UTC,25.1541874458874
2012-09-06 00:00:00 UTC,24.8580738888889
2012-09-07 00:00:00 UTC,24.94
2012-09-08 00:00:00 UTC,23.8
2012-09-09 00:00:00 UTC,24.64
2012-09-10 00:00:00 UTC,24.3835985714286
2012-09-11 00:00:00 UTC,24.94125
2012-09-12 00:00:00 UTC,24.74625
2012-09-13 00:00:00 UTC,24.995
2012-09-14 00:00:00 UTC,24.8968714285714
2012-09-15 00:00:00 UTC,25.99
2012-09-16 00:00:00 UTC,25.0
2012-09-17 00:00:00 UTC,26.9373133333333
2012-09-18 00:00:00 UTC,27.0791428571429
2012-09-19 00:00:00 UTC,26.8753918055556
2012-09-20 00:00:00 UTC,27.0610888888889
2012-09-21 00:00:00 UTC,26.8224875
2012-09-23 00:00:00 UTC,26.0377777777778
2012-09-24 00:00:00 UTC,26.5
2012-09-25 00:00:00 UTC,26.5
2012-09-26 00:00:00 UTC,25.8539971428571
