Time,anxbtc,bitmarket,btcmarkets,mtgox
2012-05-30 00:00:00 UTC,,,,5.31741913636364
2012-05-31 00:00:00 UTC,,,,5.2677425
2012-06-01 00:00:00 UTC,,,,5.28913464285714
2012-06-02 00:00:00 UTC,,,,5.31193591666667
2012-06-03 00:00:00 UTC,,,,5.36152168338143
2012-06-04 00:00:00 UTC,,,,5.51588127543753
2012-06-05 00:00:00 UTC,,,,5.61961636977058
2012-06-06 00:00:00 UTC,,,,5.66142656043956
2012-06-07 00:00:00 UTC,,,,5.64466265079365
2012-06-08 00:00:00 UTC,,,,5.73246564705882
2012-06-09 00:00:00 UTC,,,,5.76481446165966
2012-06-10 00:00:00 UTC,,,,5.68005583333333
2012-06-11 00:00:00 UTC,,,,5.65931023809524
2012-06-12 00:00:00 UTC,,,,5.67831542028985
2012-06-13 00:00:00 UTC,,,,5.95203987224158
2012-06-14 00:00:00 UTC,,,,6.01212804166667
2012-06-15 00:00:00 UTC,,,,6.18017722194107
2012-06-16 00:00:00 UTC,,,,6.460176
2012-06-17 00:00:00 UTC,,,,6.37885807407407
2012-06-18 00:00:00 UTC,,,,6.36138749678068
2012-06-19 00:00:00 UTC,,,,6.38886944444445
2012-06-20 00:00:00 UTC,,,,6.52198258762071
2012-06-21 00:00:00 UTC,,,,6.67460970779221
2012-06-22 00:00:00 UTC,,,,6.58911223280423
2012-06-23 00:00:00 UTC,,,,6.50047
2012-06-24 00:00:00 UTC,,,,6.44186333333333
2012-06-25 00:00:00 UTC,,,,6.43901104497354
2012-06-26 00:00:00 UTC,,,,6.51802412795199
2012-06-27 00:00:00 UTC,,,,6.47783933333333
2012-06-28 00:00:00 UTC,,,,6.6486608042328
2012-06-29 00:00:00 UTC,,,,6.76094520833333
2012-06-30 00:00:00 UTC,,,,6.6395
2012-07-01 00:00:00 UTC,,,,6.50392677419355
2012-07-02 00:00:00 UTC,,,,6.634091
2012-07-03 00:00:00 UTC,,,,6.57335589444444
2012-07-04 00:00:00 UTC,,,,6.42082932648011
2012-07-05 00:00:00 UTC,,,,6.50344363888889
2012-07-06 00:00:00 UTC,,,,6.5125871228168
2012-07-07 00:00:00 UTC,,,,6.56979591836735
2012-07-08 00:00:00 UTC,,,,6.70133333333333
2012-07-09 00:00:00 UTC,,,,6.72331814814815
2012-07-10 00:00:00 UTC,,,,6.94141345454546
2012-07-11 00:00:00 UTC,,,,7.11083666666667
2012-07-12 00:00:00 UTC,,,,7.19587052631579
2012-07-13 00:00:00 UTC,,,,7.67625814084353
2012-07-14 00:00:00 UTC,,,,7.54991503006253
2012-07-15 00:00:00 UTC,,,,7.58
2012-07-16 00:00:00 UTC,,,,7.78286906336088
2012-07-17 00:00:00 UTC,,,,8.22057709208768
2012-07-18 00:00:00 UTC,,,,8.7142955202381
2012-07-19 00:00:00 UTC,,,,8.87801432083333
2012-07-20 00:00:00 UTC,,,,7.84736493589744
2012-07-21 00:00:00 UTC,,,,8.43397385981625
2012-07-22 00:00:00 UTC,,,,8.33697315476191
2012-07-23 00:00:00 UTC,,,,8.31657852851315
2012-07-24 00:00:00 UTC,,,,8.49568846918097
2012-07-25 00:00:00 UTC,,,,8.42325120297805
2012-07-26 00:00:00 UTC,,,,8.62823919047619
2012-07-27 00:00:00 UTC,,,,8.69630198717949
2012-07-28 00:00:00 UTC,,,,8.64547075
2012-07-29 00:00:00 UTC,,,,8.51771533333333
2012-07-30 00:00:00 UTC,,,,8.54661551222826
2012-07-31 00:00:00 UTC,,,,8.82908198092532
2012-08-01 00:00:00 UTC,,,,9.09880687590188
2012-08-02 00:00:00 UTC,,,,9.48275091666667
2012-08-03 00:00:00 UTC,,,,10.2111524223602
2012-08-04 00:00:00 UTC,,,,10.3964602083333
2012-08-05 00:00:00 UTC,,,,10.1682815873016
2012-08-06 00:00:00 UTC,,,,10.383994914966
2012-08-07 00:00:00 UTC,,,,10.36507539083
2012-08-08 00:00:00 UTC,,,,10.5800097222222
2012-08-09 00:00:00 UTC,,,,10.6751551136364
2012-08-10 00:00:00 UTC,,,,10.8140229523809
2012-08-11 00:00:00 UTC,,,,11.0257125925926
2012-08-12 00:00:00 UTC,,,,10.7500705
2012-08-13 00:00:00 UTC,,,,11.2247929516807
2012-08-14 00:00:00 UTC,,,,11.4997787912088
2012-08-15 00:00:00 UTC,,,,11.9098445238095
2012-08-16 00:00:00 UTC,,,,12.7110761071428
2012-08-17 00:00:00 UTC,,,,13.0929465025783
2012-08-18 00:00:00 UTC,,,,11.4637875920635
2012-08-19 00:00:00 UTC,,,,9.28504035630145
2012-08-20 00:00:00 UTC,,,,9.15885958935916
2012-08-21 00:00:00 UTC,,,,9.7390393097728
2012-08-22 00:00:00 UTC,,,,9.52924832684275
2012-08-23 00:00:00 UTC,,,,9.62198816811596
2012-08-24 00:00:00 UTC,,,,9.78260048958333
2012-08-25 00:00:00 UTC,,,,10.1687584375
2012-08-26 00:00:00 UTC,,,,10.3696105853175
2012-08-27 00:00:00 UTC,,,,10.9480248754181
2012-08-28 00:00:00 UTC,,,,10.7056852941341
