Time,bit-x,bitcoinde,bitstamp,cex.io,coinbase,exmo,kraken,others,paymium,therocktrading
2011-10-21 00:00:00 UTC,,,,,,,,1.85016666666667,,
2011-10-22 00:00:00 UTC,,,,,,,,2.40690761904762,,
2011-10-23 00:00:00 UTC,,,,,,,,,,
2011-10-24 00:00:00 UTC,,,,,,,,2.221754375,,
2011-10-25 00:00:00 UTC,,,,,,,,2.3,,
2011-10-26 00:00:00 UTC,,,,,,,,2.247475,,
2011-10-27 00:00:00 UTC,,,,,,,,2.188,,
2011-10-28 00:00:00 UTC,,,,,,,,2.288,,
2011-10-29 00:00:00 UTC,,,,,,,,2.31020833333334,,
2011-10-30 00:00:00 UTC,,,,,,,,,,
2011-10-31 00:00:00 UTC,,,,,,,,2.56583333333333,,
2011-11-01 00:00:00 UTC,,,,,,,,2.779,,
2011-11-02 00:00:00 UTC,,,,,,,,2.93333333333333,,
2011-11-03 00:00:00 UTC,,,,,,,,,,
2011-11-04 00:00:00 UTC,,,,,,,,,,
2011-11-05 00:00:00 UTC,,,,,,,,2.880804,,
2011-11-06 00:00:00 UTC,,,,,,,,,,
2011-11-07 00:00:00 UTC,,,,,,,,2.43833333333333,,
2011-11-08 00:00:00 UTC,,,,,,,,2.3458099999999997,,
2011-11-09 00:00:00 UTC,,,,,,,,2.41666666666667,,2.15
2011-11-10 00:00:00 UTC,,,,,,,,,,2.14
2011-11-11 00:00:00 UTC,,,,,,,,2.45,,2.14
2011-11-12 00:00:00 UTC,,,,,,,,,,2.1575
2011-11-13 00:00:00 UTC,,,,,,,,2.65664166666667,,2.145
2011-11-14 00:00:00 UTC,,,,,,,,2.15934,,2.1375
2011-11-15 00:00:00 UTC,,,,,,,,2.29400979166667,,2.1075
2011-11-16 00:00:00 UTC,,,,,,,,2.28933066666667,,2.07
2011-11-17 00:00:00 UTC,,,,,,,,1.98125,,2.04333333333333
2011-11-18 00:00:00 UTC,,,,,,,,1.99417916666667,,2.0
2011-11-19 00:00:00 UTC,,,,,,,,1.81505,,1.78
2011-11-20 00:00:00 UTC,,,,,,,,1.99,,1.77
2011-11-21 00:00:00 UTC,,,,,,,,1.97,,2.10833333333333
2011-11-22 00:00:00 UTC,,,,,,,,1.93915,,1.93
2011-11-23 00:00:00 UTC,,,,,,,,2.175,,1.98
2011-11-24 00:00:00 UTC,,,,,,,,1.999,,1.98
2011-11-25 00:00:00 UTC,,,,,,,,1.94755,,1.98
2011-11-26 00:00:00 UTC,,,,,,,,1.8625,,1.98
2011-11-27 00:00:00 UTC,,,,,,,,,,
2011-11-28 00:00:00 UTC,,,,,,,,2.04241666666667,,
2011-11-29 00:00:00 UTC,,,,,,,,2.193,,2.07333333333333
2011-11-30 00:00:00 UTC,,,,,,,,2.3897,,2.195
2011-12-01 00:00:00 UTC,,,,,,,,2.346,,2.15
2011-12-02 00:00:00 UTC,,,,,,,,2.49371666666667,,2.245
2011-12-03 00:00:00 UTC,,,,,,,,2.45,,2.255
2011-12-04 00:00:00 UTC,,,,,,,,2.197075891563145,,2.16333333333333
2011-12-05 00:00:00 UTC,,,,,,,,2.16631234162896,,2.25666666666667
2011-12-06 00:00:00 UTC,,,,,,,,2.2736940902777767,,2.5
2011-12-07 00:00:00 UTC,,,,,,,,2.295164240079365,,2.3
2011-12-08 00:00:00 UTC,,,,,,,,2.3001693354861503,,2.35
2011-12-09 00:00:00 UTC,,,,,,,,2.34316190277778,,2.35
2011-12-10 00:00:00 UTC,,,,,,,,2.37604946969697,,2.7
2011-12-11 00:00:00 UTC,,,,,,,,2.41876731313131,,
2011-12-12 00:00:00 UTC,,,,,,,,2.452062086349605,,
2011-12-13 00:00:00 UTC,,,,,,,,2.49981427928055,,
2011-12-14 00:00:00 UTC,,,,,,,,2.515965351684475,,2.55
2011-12-15 00:00:00 UTC,,,,,,,,2.470461371504155,,
2011-12-16 00:00:00 UTC,,,,,,,,2.47999675989011,,2.8
2011-12-17 00:00:00 UTC,,,,,,,,2.46423603968254,,2.8
2011-12-18 00:00:00 UTC,,,,,,,,2.497504666666665,,2.9
2011-12-19 00:00:00 UTC,,,,,,,,2.586342600750855,,2.9
2011-12-20 00:00:00 UTC,,,,,,,,3.237829163781365,,3.0
2011-12-21 00:00:00 UTC,,,,,,,,3.3307179471175603,,2.4
2011-12-22 00:00:00 UTC,,,,,,,,3.17943393873972,,
2011-12-23 00:00:00 UTC,,,,,,,,3.04313702152892,,
2011-12-24 00:00:00 UTC,,,,,,,,3.029488125,,3.5
2011-12-25 00:00:00 UTC,,,,,,,,3.244398506891395,,
2011-12-26 00:00:00 UTC,,,,,,,,3.13014703955301,,
2011-12-27 00:00:00 UTC,,,,,,,,3.24910758798912,,3.40666666666667
2011-12-28 00:00:00 UTC,,,,,,,,3.28450111309524,,
2011-12-29 00:00:00 UTC,,,,,,,,3.3224634374999997,,
2011-12-30 00:00:00 UTC,,,,,,,,3.34374201762553,,
2011-12-31 00:00:00 UTC,,,,,,,,3.4651770730152647,,3.75
2012-01-01 00:00:00 UTC,,,,,,,,4.17205111210693,,
2012-01-02 00:00:00 UTC,,,,,,,,4.28268604077479,,
2012-01-03 00:00:00 UTC,,,,,,,,4.18905355577995,,
2012-01-04 00:00:00 UTC,,,,,,,,4.24030880009175,,
2012-01-05 00:00:00 UTC,,,,,,,,5.135179107294305,,7.575
2012-01-06 00:00:00 UTC,,,,,,,,5.488125234554235,,
2012-01-07 00:00:00 UTC,,,,,,,,5.348516500959144,,
2012-01-08 00:00:00 UTC,,,,,,,,5.641118645455405,,5.83333333333333
2012-01-09 00:00:00 UTC,,,,,,,,5.207803360625115,,5.15
2012-01-10 00:00:00 UTC,,,,,,,,5.26026476747917,,5.15
2012-01-11 00:00:00 UTC,,,,,,,,5.680353952247755,,
2012-01-12 00:00:00 UTC,,,,,,,,5.49767085488836,,
2012-01-13 00:00:00 UTC,,,,,,,,5.210161639760701,,
2012-01-14 00:00:00 UTC,,,,,,,,5.31026912879406,,
2012-01-15 00:00:00 UTC,,,,,,,,5.41924393593958,,5.535
2012-01-16 00:00:00 UTC,,,,,,,,5.35798590314179,,
2012-01-17 00:00:00 UTC,,,,,,,,5.16879499903476,,
2012-01-18 00:00:00 UTC,,,,,,,,4.94304681049182,,
2012-01-19 00:00:00 UTC,,,,,,,,5.066518284549325,,
2012-01-20 00:00:00 UTC,,,,,,,,5.16081156427496,,5.0
2012-01-21 00:00:00 UTC,,,,,,,,4.971865785917,,
2012-01-22 00:00:00 UTC,,,,,,,,4.91708571184658,,
2012-01-23 00:00:00 UTC,,,,,,,,4.908341416673365,,
2012-01-24 00:00:00 UTC,,,,,,,,5.059992506069095,,
2012-01-25 00:00:00 UTC,,,,,,,,4.868097294248875,,5.0375
2012-01-26 00:00:00 UTC,,,,,,,,4.475377764634695,,
2012-01-27 00:00:00 UTC,,,,,,,,4.4504181841360655,,
2012-01-28 00:00:00 UTC,,,,,,,,4.3431465506545806,,
2012-01-29 00:00:00 UTC,,,,,,,,4.50349896941161,,
2012-01-30 00:00:00 UTC,,,,,,,,4.565986437983735,,
2012-01-31 00:00:00 UTC,,,,,,,,4.45434909396491,,
2012-02-01 00:00:00 UTC,,,,,,,,4.626472559893591,,
2012-02-02 00:00:00 UTC,,,,,,,,4.773543292415175,,
2012-02-03 00:00:00 UTC,,,,,,,,4.882427372939925,,
2012-02-04 00:00:00 UTC,,,,,,,,4.785439549107145,,
2012-02-05 00:00:00 UTC,,,,,,,,4.493225262832794,,
2012-02-06 00:00:00 UTC,,,,,,,,4.34747201989103,,4.5
2012-02-07 00:00:00 UTC,,,,,,,,4.56358117539598,,
2012-02-08 00:00:00 UTC,,,,,,,,4.635556717070855,,
2012-02-09 00:00:00 UTC,,,,,,,,4.522357352639425,,
2012-02-10 00:00:00 UTC,,,,,,,,4.598001395725046,,
2012-02-11 00:00:00 UTC,,,,,,,,4.563179289735469,,
2012-02-12 00:00:00 UTC,,,,,,,,4.411916691099755,,
2012-02-13 00:00:00 UTC,,,,,,,,4.2581580922572,,
2012-02-14 00:00:00 UTC,,,,,,,,3.91462932621714,,4.05
2012-02-15 00:00:00 UTC,,,,,,,,3.9372046400591554,,
2012-02-16 00:00:00 UTC,,,,,,,,3.690346434229325,,3.94
2012-02-17 00:00:00 UTC,,,,,,,,3.746961177740515,,
2012-02-18 00:00:00 UTC,,,,,,,,3.626277390155235,,
2012-02-19 00:00:00 UTC,,,,,,,,3.33491257569482,,
2012-02-20 00:00:00 UTC,,,,,,,,3.553066768328815,,
2012-02-21 00:00:00 UTC,,,,,,,,3.543964171266405,,
2012-02-22 00:00:00 UTC,,,,,,,,3.630862258842275,,
2012-02-23 00:00:00 UTC,,,,,,,,4.04350761960349,,
2012-02-24 00:00:00 UTC,,,,,,,,3.9596849977532953,,
2012-02-25 00:00:00 UTC,,,,,,,,3.8908436345366653,,
2012-02-26 00:00:00 UTC,,,,,,,,3.889056913690475,,
2012-02-27 00:00:00 UTC,,,,,,,,3.90937127428436,,
2012-02-28 00:00:00 UTC,,,,,,,,3.830816925597065,,
2012-02-29 00:00:00 UTC,,,,,,,,3.81394734356257,,
2012-03-01 00:00:00 UTC,,,,,,,,3.868299992064765,,
2012-03-02 00:00:00 UTC,,,,,,,,3.709391347441395,,
2012-03-03 00:00:00 UTC,,,,,,,,3.628453697089945,,
2012-03-04 00:00:00 UTC,,,,,,,,3.7806121464019853,,
2012-03-05 00:00:00 UTC,,,,,,,,3.832173847465255,,
2012-03-06 00:00:00 UTC,,,,,,,,3.88069545974234,,
2012-03-07 00:00:00 UTC,,,,,,,,3.95708426078588,,
2012-03-08 00:00:00 UTC,,,,,,,,3.83276386406581,,
2012-03-09 00:00:00 UTC,,,,,,,,3.91749073932902,,
2012-03-10 00:00:00 UTC,,,,,,,,3.8332331971970497,,4.0
2012-03-11 00:00:00 UTC,,,,,,,,3.8580779223748447,,
2012-03-12 00:00:00 UTC,,,,,,,,3.82041268091359,,
2012-03-13 00:00:00 UTC,,,,,,,,3.921341811207385,,
2012-03-14 00:00:00 UTC,,,,,,,,4.138562234776125,,4.0
2012-03-15 00:00:00 UTC,,,,,,,,4.16190551508086,,
2012-03-16 00:00:00 UTC,,,,,,,,4.176911636472015,,4.0
2012-03-17 00:00:00 UTC,,,,,,,,4.1737489295655745,,
2012-03-18 00:00:00 UTC,,,,,,,,4.1437410202816,,
2012-03-19 00:00:00 UTC,,,,,,,,3.9945411040687198,,
2012-03-20 00:00:00 UTC,,,,,,,,3.808924522643895,,
2012-03-21 00:00:00 UTC,,,,,,,,3.8005236190303098,,
2012-03-22 00:00:00 UTC,,,,,,,,3.777122347216915,,
2012-03-23 00:00:00 UTC,,,,,,,,3.800112804621365,,
2012-03-24 00:00:00 UTC,,,,,,,,3.79890534157509,,
2012-03-25 00:00:00 UTC,,,,,,,,3.6457391454000803,,
2012-03-26 00:00:00 UTC,,,,,,,,3.713618021499475,,3.9
2012-03-27 00:00:00 UTC,,,,,,,,3.66907427761348,,
2012-03-28 00:00:00 UTC,,,,,,,,3.691663911064175,,
2012-03-29 00:00:00 UTC,,,,,,,,3.7504412090376746,,
2012-03-30 00:00:00 UTC,,,,,,,,3.62012916510025,,
2012-03-31 00:00:00 UTC,,,,,,,,3.680718919753085,,
2012-04-01 00:00:00 UTC,,,,,,,,3.648002898263555,,3.99
2012-04-02 00:00:00 UTC,,,,,,,,3.7150862849097903,,3.51
2012-04-03 00:00:00 UTC,,,,,,,,3.7540256069919202,,
2012-04-04 00:00:00 UTC,,,,,,,,3.78980007342491,,
2012-04-05 00:00:00 UTC,,,,,,,,3.795956962219365,,3.8
2012-04-06 00:00:00 UTC,,,,,,,,3.828106727022705,,3.64
2012-04-07 00:00:00 UTC,,,,,,,,3.742320066407405,,
2012-04-08 00:00:00 UTC,,,,,,,,3.64680192928946,,
2012-04-09 00:00:00 UTC,,,,,,,,3.70915456102441,,
2012-04-10 00:00:00 UTC,,,,,,,,3.7351553863198603,,
2012-04-11 00:00:00 UTC,,,,,,,,3.7606198961914252,,3.55
2012-04-12 00:00:00 UTC,,,,,,,,3.7733094042742,,
2012-04-13 00:00:00 UTC,,,,,,,,3.7365375952308,,
2012-04-14 00:00:00 UTC,,,,,,,,3.771412000677085,,
2012-04-15 00:00:00 UTC,,,,,,,,3.8094283555226847,,
2012-04-16 00:00:00 UTC,,,,,,,,3.82492142034355,,3.72
2012-04-17 00:00:00 UTC,,,,,,,,3.8159347837233453,,3.7375
2012-04-18 00:00:00 UTC,,,,,,,,3.943126857423465,,3.8
2012-04-19 00:00:00 UTC,,,,,,,,3.98005309163197,,
2012-04-20 00:00:00 UTC,,,,,,,,4.011139013642375,,
2012-04-21 00:00:00 UTC,,,,,,,,4.035312453653655,,4.0
2012-04-22 00:00:00 UTC,,,,,,,,3.940552339056775,,4.05
2012-04-23 00:00:00 UTC,,,,,,,,3.913135917297695,,
2012-04-24 00:00:00 UTC,,,,,,,,3.9212072787928003,,
2012-04-25 00:00:00 UTC,,,,,,,,3.929663833333335,,
2012-04-26 00:00:00 UTC,,,,,,,,3.9352483244772447,,
2012-04-27 00:00:00 UTC,,,,,,,,3.90724910642634,,4.0
2012-04-28 00:00:00 UTC,,,,,,,,3.83518698660216,,3.9
2012-04-29 00:00:00 UTC,,,,,,,,3.812028593333335,,
2012-04-30 00:00:00 UTC,,,,,,,,3.823816213333335,,
2012-05-01 00:00:00 UTC,,,,,,,,3.84871333052721,,
2012-05-02 00:00:00 UTC,,,,,,,,3.9123504175718598,,
2012-05-03 00:00:00 UTC,,,,,,,,3.918188947449985,,
2012-05-04 00:00:00 UTC,,,,,,,,3.967844428564695,,3.96
2012-05-05 00:00:00 UTC,,,,,,,,3.93629733712121,,3.95
2012-05-06 00:00:00 UTC,,,,,,,,3.91807714366438,,
2012-05-07 00:00:00 UTC,,,,,,,,3.9519446715857747,,
2012-05-08 00:00:00 UTC,,,,,,,,3.91577921318083,,
2012-05-09 00:00:00 UTC,,,,,,,,3.9480091877052566,,
2012-05-10 00:00:00 UTC,,,,,,,,3.9248499320561567,,
2012-05-11 00:00:00 UTC,,,,,,,,3.88246164852174,,3.92
2012-05-12 00:00:00 UTC,,,,,,,,3.87920874834656,,
2012-05-13 00:00:00 UTC,,,,,,,,3.8954786111111104,,
2012-05-14 00:00:00 UTC,,,,,,,,3.8855293603615535,,
2012-05-15 00:00:00 UTC,,,,,,,,3.923402126297997,,3.92
2012-05-16 00:00:00 UTC,,,,,,,,3.9506713873409,,4.0
2012-05-17 00:00:00 UTC,,,,,,,,4.000475649696095,,3.995
2012-05-18 00:00:00 UTC,,,,,,,,4.040843655875437,,
2012-05-19 00:00:00 UTC,,,,,,,,4.024926324836273,,
2012-05-20 00:00:00 UTC,,,,,,,,3.952080984916125,,4.12
2012-05-21 00:00:00 UTC,,,,,,,,4.03179564073296,,
2012-05-22 00:00:00 UTC,,,,,,,,4.082476735583444,,
2012-05-23 00:00:00 UTC,,,,,,,,4.092272199224911,,4.12
2012-05-24 00:00:00 UTC,,,,,,,,4.0587139506036705,,
